name,record,record_len,accel-system.cpu.numCycles,accel-simInsts,accel-simOps,accel-zeroCount,accel-sameAdd,accel-switchingAdd,accel-sameDiv,accel-switchingDiv,naive-system.cpu.numCycles,naive-simInsts,naive-simOps,naive-zeroCount,naive-sameAdd,naive-switchingAdd,naive-sameDiv,naive-switchingDiv,exit_code
cifar100_vitb,99,100,2079,30,30,20,18,234,9,91,495276,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,12,100,2079,30,30,11,5,247,1,99,495335,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,13,100,2079,30,30,8,6,246,1,99,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,14,100,2079,30,30,11,6,246,5,95,495290,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,15,100,2079,30,30,8,4,248,2,98,495304,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,16,100,2079,30,30,10,6,246,1,99,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,17,100,2079,30,30,12,3,249,0,100,495342,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,60,100,2079,30,30,10,4,248,1,99,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,61,100,2079,30,30,33,30,222,17,83,495606,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,62,100,2079,30,30,16,13,239,7,93,495307,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,63,100,2079,30,30,34,37,215,17,83,495606,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,64,100,2079,30,30,11,6,246,4,96,495290,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,65,100,2079,30,30,13,13,239,6,94,495342,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,66,100,2079,30,30,6,4,248,3,97,495328,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,67,100,2079,30,30,10,7,245,5,95,495335,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,68,100,2079,30,30,15,14,238,8,92,495297,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,69,100,2079,30,30,6,7,245,1,99,495304,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,70,100,2079,30,30,16,11,241,7,93,495307,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,71,100,2079,30,30,13,9,243,7,93,495342,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,72,100,2079,30,30,15,15,237,7,93,495297,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,73,100,2079,30,30,4,3,249,3,97,495286,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,74,100,2079,30,30,9,7,245,5,95,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,75,100,2079,30,30,8,6,246,3,97,495304,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,76,100,2079,30,30,6,2,250,2,98,495328,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,77,100,2079,30,30,7,3,249,0,100,495304,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,6,100,2079,30,30,17,13,239,6,94,495370,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,7,100,2079,30,30,13,12,240,4,96,495342,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,8,100,2079,30,30,15,9,243,4,96,495297,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,9,100,2079,30,30,6,3,249,2,98,495328,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,10,100,2079,30,30,21,16,236,6,94,495358,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,11,100,2079,30,30,8,5,247,2,98,495304,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,84,100,2079,30,30,10,7,245,4,96,495335,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,85,100,2079,30,30,14,11,241,5,95,495297,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,86,100,2079,30,30,8,5,247,0,100,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,87,100,2079,30,30,29,25,227,15,85,495278,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,88,100,2079,30,30,9,6,246,5,95,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,89,100,2079,30,30,28,30,222,15,85,495327,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,18,100,2079,30,30,2,1,251,1,99,495330,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,19,100,2079,30,30,3,0,252,0,100,495286,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,20,100,2079,30,30,4,3,249,1,99,495286,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,21,100,2079,30,30,10,7,245,5,95,495335,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,22,100,2079,30,30,16,13,239,7,93,495307,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,23,100,2079,30,30,10,8,244,4,96,495335,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,48,100,2079,30,30,16,13,239,6,94,495307,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,49,100,2079,30,30,22,21,231,11,89,495273,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,50,100,2079,30,30,19,19,233,9,91,495325,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,51,100,2079,30,30,4,2,250,0,100,495286,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,52,100,2079,30,30,6,4,248,3,97,495328,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,53,100,2079,30,30,7,5,247,2,98,495304,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,24,100,2079,30,30,13,10,242,9,91,495290,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,25,100,2079,30,30,16,9,243,6,94,495356,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,26,100,2079,30,30,5,3,249,1,99,495328,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,27,100,2079,30,30,8,7,245,4,96,495349,6410,6410,0,0,0,0,0,0x00000064
cifar100_vitb,28,100,2079,30,30,6,4,248,2,98,495304,6410,6410,0,0,0,0,0,0x00000064
